produto,codigo,categoria,tipo_produto,preco_desconto,perc_desconto,avaliacao,qtd_avaliacoes,valor_total_vendas
"Amazon Basics High-Speed Hdmi Cable, 6 Feet - Supports Ethernet, 3D, 4K Video,Black",B014I8SSD0,Electronics,Cabo,18.54,35.0,4.4,426973.0,7916079.42
7Seven® Compatible For Samsung Smart 4K Ultra Hd Tv Monitor Remote Control Replacement Of Original Samsung Tv Remote For Led Oled Uhd Qled And Suitable For 6 7 8 Series Samsung Tv With Hot Keys Bn59-01259E,B09L8DSSFH,Electronics,Tv,23.939999999999998,60.0,3.6,493.0,11802.419999999998
"Amazonbasics Micro USB Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",B07232M876,Computers e Accessories,Cabo,11.94,50.0,4.2,92595.0,1105584.3
"Tp-Link Ac600 600 Mbps Wifi Wireless Network USB Adapter For Desktop Pc With 2.4Ghz/5Ghz High Gain Dual Band 5Dbi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/Xp, Mac Os 10.15 And Earlier (Archer T2U Plus)",B07P681N66,Computers e Accessories,Computador,71.94,45.0,4.4,24780.0,1782673.2
"Amazonbasics Micro USB Fast Charging Cable For Android Phones With Gold Plated Connectors (3 Feet, Black)",B0711PVX6Z,Computers e Accessories,Cabo,10.74,64.0,4.2,92595.0,994470.3
"Amazonbasics New Release Nylon USB-A To Lightning Cable Cord, Fast Charging Mfi Certified Charger For Apple iPhone, Ipad (6-Ft, Rose Gold)",B082T6V3DT,Computers e Accessories,Cabo,47.94,62.0,4.3,8188.0,392532.72
Vw 80 Cm (32 Inches) Frameless Series Hd Ready Led Tv Vw32A (Black),B07MKFNHKG,Electronics,Tv,419.94,46.0,4.2,4003.0,1681019.82
"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable 1.5 Meter (Rct15, Blue) Supports Qc 2.0/3.0 Charging",B0BFWGBX61,Computers e Accessories,Cabo,11.94,43.0,4.1,314.0,3749.16
Tata Sky Universal Remote,B01N90RZ4M,Electronics,Outros,13.799999999999999,54.0,3.7,2960.0,40848.0
"Tp-Link Wifi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter For Pc Desktop Laptop(Supports Windows 11/10/8.1/8/7/Xp, Mac Os 10.9-10.15 And Linux, Wps, Soft Ap Mode, USB 2.0) (Tl-Wn823N),Black",B0088TKTY2,Computers e Accessories,Computador,38.94,54.0,4.2,179691.0,6997167.54
Oneplus 80 Cm (32 Inches) Y Series Hd Ready Smart Android Led Tv 32 Y1S (Black),B09Q5SWVBJ,Electronics,Tv,959.9399999999999,27.0,4.2,34899.0,33500946.06
"Wecool Unbreakable 3 In 1 Charging Cable With 3A Speed, Fast Charging Multi Purpose Cable 1.25 Mtr Long, Type C Cable, Micro USB Cable And Cable For iPhone, White",B0B4DT8MKT,Computers e Accessories,Cabo,20.88,77.0,4.2,656.0,13697.279999999999
"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable With Charge E Sync Function (Grey)",B08CDKQ8T6,Computers e Accessories,Cabo,9.24,56.0,4.3,7064.0,65271.36
"Airtel Digitaltv Dth Television, Setup Box Remote Compatible For Sd And Hd Recording (Black)",B07B275VN9,Electronics,Tv,10.74,78.0,3.7,2201.0,23638.74
Samsung 108 Cm (43 Inches) Crystal 4K Neo Series Ultra Hd Smart Led Tv Ua43Aue65Akxxl (Black),B0B15CPR37,Electronics,Tv,1979.3999999999999,31.0,4.3,7109.0,14071554.6
Lapster 1.5 Mtr USB 2.0 Type A Male To USB A Male Cable For Computer And Laptop,B0994GFWBH,Computers e Accessories,Cabo,8.34,86.0,4.0,1313.0,10950.42
Amazonbasics USB Type-C To USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,B01GGKZ0V6,Computers e Accessories,Cabo,19.74,61.0,4.2,29746.0,587186.0399999999
Redmi 80 Cm (32 Inches) Android 11 Series Hd Ready Smart Led Tv | L32M6-Ra/L32M7-Ra (Black),B09F9YQQ7B,Electronics,Tv,839.9399999999999,44.0,4.2,45238.0,37997205.72
"Amazon Basics High-Speed Hdmi Cable, 6 Feet (2-Pack),Black",B014I8SX4Y,Electronics,Cabo,18.54,78.0,4.4,426973.0,7916079.42
"Portronics Konnect L 20W Pd Quick Charge Type-C To 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",B09Q8HMKZX,Computers e Accessories,Cabo,15.78,62.0,4.1,450.0,7101.0
Acer 80 Cm (32 Inches) N Series Hd Ready Tv Ar32Nsv53Hd (Black),B0B9XN9S3W,Electronics,Tv,479.94,47.0,4.3,457.0,219332.58
"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-Inch Full Motion Cantilever For Led,Lcd And Plasma Tv'S",B07966M8XH,Electronics,Tv,95.94,47.0,4.2,2727.0,261628.38
"Amazon Basics USB Type-C To USB-A 2.0 Male Fast Charging Cable For Laptop - 3 Feet (0.9 Meters), Black",B01GGKYKQM,Computers e Accessories,Cabo,13.139999999999999,69.0,4.3,20053.0,263496.42
"Oraimo 65W Type C To C Fast Charging Cable USB C To USB C Cable High Speed Syncing, Nylon Braided 1M Length With Led Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",B0B86CDHL1,Computers e Accessories,Cabo,20.939999999999998,61.0,4.5,149.0,3120.0599999999995
"Cedo 65W Oneplus Dash Warp Charge Cable, USB A To Type C Data Sync Fast Charging Cable Compatible With One Plus 3 /3T /5 /5T /6 /6T /7 /7T /7 Pro E For All Type C Devices - 1 Meter, Red",B0B5ZF3NRK,Computers e Accessories,Cabo,20.939999999999998,42.0,4.1,210.0,4397.4
Redmi 108 Cm (43 Inches) 4K Ultra Hd Android Smart Led Tv X43 | L43R7-7Ain (Black),B09RFC46VP,Electronics,Tv,1619.9399999999998,37.0,4.2,45238.0,73282845.72
"Pinnaclz Original Combo Of 2 Micro USB Fast Charging Cable, USB Charging Cable For Data Transfer Perfect For Android Smart Phones White 1.2 Meter Made In India (Pack Of 2)",B08R69VDHT,Computers e Accessories,Cabo,6.8999999999999995,77.0,4.0,7732.0,53350.799999999996
"Boat Type C A750 Stress Resistant, Tangle-Free, Sturdy Flat Cable With 6.5A Fast Charging E 480Mbps Data Transmission, 10000+ Bends Lifespan And Extended 1.5M Length(Rebellious Black)",B09RWZRCP1,Computers e Accessories,Cabo,23.939999999999998,60.0,4.1,1780.0,42613.2
"Ambrane 2 In 1 Type-C E Micro USB Cable With 60W / 3A Fast Charging, 480 Mbps High Data, Pd Technology E Quick Charge 3.0, Compatible With All Type-C E Micro USB Devices (Abdc-10, Black)",B09CMP1SC8,Computers e Accessories,Cabo,11.94,60.0,4.1,602.0,7187.88
"Ambrane 60W / 3A Fast Charging Output Cable With Type-C To USB For Mobile, Neckband, True Wireless Earphone Charging, 480Mbps Data Sync Speed, 1M Length (Act - Az10, Black)",B09YLXYP7Y,Computers e Accessories,Cabo,10.74,55.0,4.0,1423.0,15283.02
Tcl 80 Cm (32 Inches) Hd Ready Certified Android Smart Led Tv 32S5205 (Black),B09ZPM4C2C,Electronics,Tv,654.06,65.0,4.1,398.0,260315.87999999998
"Swapkart Fast Charging Cable And Data Sync USB Cable Compatible For iPhone 6/6S/7/7+/8/8+/10/11, 12, 13 Pro Max Ipad Air/Mini, Ipod And Ios Devices (White)",B0B2DJDCPX,Computers e Accessories,Cabo,12.54,58.0,3.9,536.0,6721.44
Firestick Remote,B0BCZCQTJX,Electronics,Outros,86.03999999999999,64.0,4.0,32.0,2753.2799999999997
"Wayona USB Nylon Braided Data Sync And Charging Cable For iPhone, Ipad Tablet (Red, Black)",B07LGT55SJ,Computers e Accessories,Cabo,23.939999999999998,64.0,4.2,24269.0,580999.86
"Flix (Beetel) USB To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For USB Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12",B09NKZXMWJ,Computers e Accessories,Cabo,8.34,44.0,4.0,9378.0,78212.52
Skywall 81.28 Cm (32 Inches) Hd Ready Smart Led Tv 32Swels-Pro (Black),B08QX1CC14,Electronics,Tv,437.94,62.0,3.4,902.0,395021.88
"Boat A 350 Type C Cable For Smartphone, Charging Adapter (1.5M, Carbon Black)",B0974H97TJ,Computers e Accessories,Cabo,17.939999999999998,63.0,4.4,28791.0,516510.5399999999
"Wayona USB Type C Fast Charger Cable Fast Charging USB C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",B07GVGTSLN,Computers e Accessories,Cabo,19.5,75.0,4.2,10576.0,206232.0
Oneplus 108 Cm (43 Inches) Y Series 4K Ultra Hd Smart Android Led Tv 43Y1S Pro (Black),B09VCHLSJF,Electronics,Tv,1799.9399999999998,25.0,4.2,7298.0,13135962.12
